"Main","Middle","Sub",                                  "Address", "Central", "Unfiltered", "Description", "DatapointType", "Security", "DPT"
      ,        , "Zentral",                             "0/0/1",   "true",    "",           "",            "DPST-1-1",      "Auto",     "1.001"
      ,        , "Datum und Zeit",                      "0/1/0",   "",        "",           "",            "DPT-19",        "Auto",     "19.001"
      ,        , "LichtA1 - Schalten EinAus",           "1/0/0",   "",        "",           "",            "DPST-1-1",      "Auto",     "1.001"
      ,        , "LichtA1 - Status Ein Aus",            "1/0/1",   "",        "",           "",            "DPST-1-1",      "Auto",     "1.001"
      ,        , "LichtA2 - Schalten EinAus",           "1/0/2",   "",        "",           "",            "DPST-1-1",      "Auto",     "1.001"
      ,        , "LichtA2 - Status Ein Aus",            "1/0/3",   "",        "",           "",            "DPST-1-1",      "Auto",     "1.001"
      ,        , "LichtA3 - Schalten EinAus",           "1/0/4",   "",        "",           "",            "DPST-1-1",      "Auto",     "1.001"
      ,        , "LichtA3 - Status Ein Aus",            "1/0/5",   "",        "",           "",            "DPST-1-1",      "Auto",     "1.001"
      ,        , "LichtA3 - Rel Dimm",                  "1/0/6",   "",        "",           "",            "DPST-3-7",      "Auto",     "3.007"
      ,        , "LichtA3 - Abs Dimm",                  "1/0/7",   "",        "",           "",            "DPST-5-1",      "Auto",     "5.001"
      ,        , "LichtA3 - Status Dimmwert",           "1/0/8",   "",        "",           "",            "DPST-5-1",      "Auto",     "5.001"
      ,        , "LichtB1 - Schalten EinAus",           "1/1/0",   "",        "",           "",            "DPST-1-1",      "Auto",     "1.001"
      ,        , "LichtB1 - Status Ein Aus",            "1/1/1",   "",        "",           "",            "DPST-1-1",      "Auto",     "1.001"
      ,        , "LichtB2 - Schalten EinAus",           "1/1/2",   "",        "",           "",            "DPST-1-1",      "Auto",     "1.001"
      ,        , "LichtB2 - Status Ein Aus",            "1/1/3",   "",        "",           "",            "DPST-1-1",      "Auto",     "1.001"
      ,        , "LichtB2 - Rel Dimm",                  "1/1/4",   "",        "",           "",            "DPST-3-7",      "Auto",     "3.007"
      ,        , "LichtB2 - Abs Dimm",                  "1/1/5",   "",        "",           "",            "DPST-5-1",      "Auto",     "5.001"
      ,        , "LichtB2 - Status Dimmwert",           "1/1/6",   "",        "",           "",            "DPST-5-1",      "Auto",     "5.001"
      ,        , "LichtTreppe - Schalten EinAus",       "1/2/0",   "",        "",           "",            "DPST-1-1",      "Auto",     "1.001"
      ,        , "LichtTreppe - Status EinAus",         "1/2/1",   "",        "",           "",            "DPST-1-1",      "Auto",     "1.001"
      ,        , "J1 - Auf/Ab",                         "2/0/0",   "",        "",           "",            "DPST-1-8",      "Auto",     "1.008"
      ,        , "J1 - Stop/Lamelle",                   "2/0/1",   "",        "",           "",            "DPST-1-9",      "Auto",     "1.009"
      ,        , "J1 - Status Position Absolut",        "2/0/2",   "",        "",           "",            "DPST-5-1",      "Auto",     "5.001"
      ,        , "J2 - Auf/Ab",                         "2/1/0",   "",        "",           "",            "DPST-1-8",      "Auto",     "1.008"
      ,        , "J2 - Stop/Lamelle",                   "2/1/1",   "",        "",           "",            "DPST-1-9",      "Auto",     "1.009"
      ,        , "J2 - Status Position Absolut",        "2/1/2",   "",        "",           "",            "DPST-5-1",      "Auto",     "5.001"
      ,        , "RaumA - Temperatur Ist",              "3/0/0",   "",        "",           "",            "DPST-9-1",      "Auto",     "9.001"
      ,        , "RaumA - Sollwertverschiebung Heizen", "3/0/1",   "",        "",           "",            "DPST-1-7",      "Auto",     "1.007"
      ,        , "RaumA - Sollwertverschiebung Kühlen", "3/0/2",   "",        "",           "",            "DPST-1-7",      "Auto",     "1.007"
      ,        , "RaumA - Sollwert Status Heizen",      "3/0/3",   "",        "",           "",            "DPST-9-1",      "Auto",     "9.001"
      ,        , "RaumA - Sollwert Status Kühlen",      "3/0/4",   "",        "",           "",            "DPST-9-1",      "Auto",     "9.001"
      ,        , "RaumA - Stellgröße Heizen",           "3/0/5",   "",        "",           "",            "DPST-5-1",      "Auto",     "5.001"
      ,        , "RaumA - Stellgröße Kühlen",           "3/0/6",   "",        "",           "",            "DPST-5-1",      "Auto",     "5.001"
      ,        , "RaumB - Temperatur Ist",              "3/1/0",   "",        "",           "",            "DPST-9-1",      "Auto",     "9.001"
      ,        , "RaumB - Sollwertverschiebung",        "3/1/1",   "",        "",           "",            "",              "Auto",     ""
      ,        , "RaumB - Sollwert Status",             "3/1/2",   "",        "",           "",            "DPST-9-1",      "Auto",     "9.001"
      ,        , "RaumB - Stellgröße Heizen",           "3/1/3",   "",        "",           "",            "DPST-5-1",      "Auto",     "5.001"
      ,        , "RaumB - Stellgröße Kühlen",           "3/1/4",   "",        "",           "",            "DPST-5-1",      "Auto",     "5.001"
      ,        , "Stoerung_HLK",                        "3/2/0",   "",        "",           "",            "",              "Auto",     "" 
